日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-05-01|2018-05-31,手机配件,857226303,9.01%,66.54%,75.34%,584825,70.82%,137060,60.54%
2018-05-01|2018-05-31,移动电源,188596228,11.34%,11.71%,3.03%,138192,16.74%,13625,6.02%
2018-05-01|2018-05-31,单反/单电相机配件,170563907,-0.28%,10.82%,1.95%,217408,26.33%,16929,7.48%
2018-05-01|2018-05-31,USB数码周边,165350387,178.96%,9.17%,4.82%,275656,33.38%,26843,11.86%
2018-05-01|2018-05-31,笔记本电脑配件,162690089,6.01%,8.83%,2.48%,236603,28.65%,21326,9.42%
2018-05-01|2018-05-31,数码周边,106373608,4.33%,5.12%,4.13%,221243,26.79%,24423,10.79%
2018-05-01|2018-05-31,平板电脑配件,93194026,-9.29%,3.62%,1.67%,169450,20.52%,12561,5.55%
2018-05-01|2018-05-31,家电影音周边配件,70562201,42.88%,2.53%,1.89%,161009,19.50%,13735,6.07%
2018-05-01|2018-05-31,干电池/充电电池/套装,68039528,11.32%,2.25%,1.94%,113188,13.71%,13649,6.03%
2018-05-01|2018-05-31,其它配件,49384847,-4.68%,0.99%,0.39%,134545,16.29%,12850,5.68%
2018-05-01|2018-05-31,数码相机配件,21120149,-8.58%,0.43%,0.23%,64749,7.84%,4050,1.79%
2018-05-01|2018-05-31,胶片相机配件,18123852,31.57%,0.35%,0.25%,73864,8.95%,2028,0.90%
2018-05-01|2018-05-31,摄像机配件,18020931,11.38%,0.35%,0.06%,29908,3.62%,2904,1.28%
2018-05-01|2018-05-31,数码包/收纳/整理,17565526,-17.89%,0.33%,1.01%,151277,18.32%,9517,4.20%
2018-05-01|2018-05-31,MP3/MP4配件,11761982,-1.20%,0.21%,0.40%,83808,10.15%,5816,2.57%
2018-05-01|2018-05-31,车载手机配件,10271629,9.75%,0.12%,0.28%,147939,17.92%,8022,3.54%
2018-05-01|2018-05-31,电子书配件,2805161,5.71%,0.03%,0.11%,26290,3.18%,1315,0.58%
2018-05-01|2018-05-31,数码相框,2657716,12.62%,0.03%,0.00,7999,0.97%,170,0.08%
2018-05-01|2018-05-31,3G无线上网卡设备,2486484,-2.90%,0.03%,0.01%,3062,0.37%,261,0.12%
2018-05-01|2018-05-31,电教产品配件,770520,10.86%,0.01%,0.02%,13937,1.69%,564,0.25%